Region,Formation,Member,AgeEnd,AgeEarly,Supporting References,Notes,Other age details or opinions,Correlation,Other opinions on correlations
Alabama,Ecor Rouge,,5.3,11.6,"Isphording and Flowers 1983, Ebersole and Jacquemin 2018",,"Ebersole and Jacquemin (2018) review and accept the range as 11.6-5.3 Ma, Late Miocene according to the most recent ICS definition.",Overlies Mobile Clay; Underlies Citronelle.,
Alabama,Mobile Clay,,11.6,16,"Isphording 1977, Ebersole and Jacquemin 2018",Raymond et al 1988 did not see the unit listed in state usage and so thought it might be informal.,"Isphording (1977) considered the unit to be middle Miocene. Ebersole and Jacquemin (2018) review and accept the range as 16-11.6 Ma, Middle Miocene according to the most recent ICS definition.",Underlies Ecor Rouge; overlies Chickasawhay lmst updip and Tamp lmst downdip (south).,
"Alabama, Florida, Louisiana, Mississippi, Texas",Biloxi,,0.0116,0.132,"Otvos 2005, 2009, 2013",,"The Prairie Frm (135-60 Ka) (Mateo 2005; Otvos 2005, 2009; Shen et al 2008); Biloxi Frm (132-116 Ka) (Otvos 2005, 2009, 2013); and Gulfport Frm (132-118 Ka) (Otvos 2013) are not valid formations according to the Florida Geological Survey (Means, pers comm 2013). These formations were based on elevation and not named following stratigraphic guidelines. According to Otvos (1992), the Prairie Frm deposits interfinger with transgressive Biloxi units; they cover Biloxi deposits and the landward flank of the Gulfport Belt. According to Otvos (2009, 2013), the Biloxi is partially correlated with the above-lying Gulfport Frm. Kolbe et al (2011) cite these as present in NW Florida. Huddlestun (pers comm 2013) also indicated the Biloxi Frm of Otvos is present in the coastal area as far east as St. George Island and is in the same stratigraphic position as the Satilla Frm of GA. According to Parker and Cooke (1944), the Satilla Frm overlies the Anastasia Frm in Florida, but Means (pers comm 2013) indicated the Satilla Frm is only in Georgia.",,
"Alabama, Florida, Louisiana, Mississippi, Texas",Pensacola,,3.3,15,"Otvos 1988, 1994","Includes Escambia, Pascagoula, and Graham Ferry mbrs. Two additional members, Amos and Meyer, may be informal. The Escambia underlies the Pascagoula.","Ranges from early middle Miocene to base of the Cintronelle unconformities. Thus, older than 3.3 Ma by correlation. Otvos 1994 stated age as Langhian through Piacenzian.",,
"Alabama, Mississippi",Pascagoula,,5.6,15,"Brown and Guyton 1943, Otvos 1990, 1991","Otvos 1988 reassigned the Pascagoula to the Pensacola, including the two members (Fort Adams and Homochitto).",Age in Mississippi is late Miocene and Choctawhatchee fm (FL).,"Overlies the unit formerly called Hattiesburg fm. The Hattiesburg is no longer recognized; it is a fascies of the Catahoula. Underlies Citronelle and other terraces. Underlies the Perdido Key fm in AL (not recognized) and the Graham Ferry (no longer accepted as a fm, but rather a facies).",
Anguilla,Anguilla,,19,22,"Budd et al 1985, Johnson and Kirby 2006",,"Budd et al 1994 said deposition began 19-22 Ma (forams and Sr isotopes), but continued into zone N10, which Barron et al 1985 plotted in range from ca 14.2-14.7 Ma. They speculate about the cause being 'short-term' onlap as proposed by Haq; perhaps this means deposition was during the same Haq event proposed to have laid the Lagunitas 17.5-18.5 Ma. Johnson and Kirby 2006 considered the Anguilla as only Early Miocene.",,
Antigua and Barbuda,Highlands,,4.3,4.7,Brasier and Mather 1975,"Antigua is Oligocene volcanics and limestones, but Barbuda has Neogene and Quaternary deposits. Brasier and Mather 1975 say the fauna is similar to living fore-reef at 20-70 m depth.","Brasier and Mather 1975 holistically reviewed fossil evidence as well as Wigley 1973 geochemical work, and put the age as Middle Miocene, coeval with Rio Gurabo (DR). Deposition happened towards the end of Middle Tertiary subsidence and before the 'forerunners of the impending Mio-Pliocene earth movements' (Brasier and Mather 1975). Mann 1999 discusses Late Miocene movement in forming the Kallinago basin along the Lesser Antilles. Then Brasier had a change of heart and agreed with others who suggested a Pliocene age, and referenced climatic optima for deposition from 4.7-4.3 Ma (isotope dates from Oberhansli and Hemleben 1984).","Russel and McIntire 1966 defined the Highlands lmst to be a more extensive unit; the upper half was previously part of the Codrington by Martin-Kaye's 1959 definition and is now the Beazer fm defined by Brasier and Mather 1975. Brasier and Donahue 1985 tentatively correlate the Highlands lmst with the Gurabo fm (DR), which McNeill et al 2012 placed at 5.8-4 Ma..",
Aruba,Seroe Domi,Undifferentiated,2.58,5.6,Collins and Donovan 2004,Fore reef talus fans with original dips.,"The fm extends from Middle(?) or Upper Miocene to Upper Pliocene, but Aruba outcrops are almost entirely Pliocene (Collins and Donovan 2004). This would agree well with Maurasse 1990 plate 5b. It differs slightly from estimates for Seroe Domi ages determined in Curacao.",,
Bahamas,Rice Bay,,0,0.005,Carew and Mylroie 1987,,"Phase IV/3, IV/2, and IV/1, with a maximum age of 5.3 ka, Holocene (Hearty and Kindler 1993). Younger member (Hannah Bay) has age of 3.2 ka.",,
Bahamas,Almgreen Cay,,0.085,0.12,Hearty and Kindler 1993,,"Phase III/1 and III/2, older than 63 ka, Late Sangamonian (Hearty and Kindler 1993). Age of 85 given for highstand, with 120 ka the end of the interglacial.",Correlates with Southampton fm in Bermuda (Hearty and Vacher 1994).,
